time,wx,wy,wz
5.360,10.68,-7.77,5.87
5.377,13.23,-9.17,5.19
5.393,14.64,-9.74,3.74
5.409,15.29,-10.30,2.98
5.425,15.58,-11.00,3.49
5.441,15.01,-11.58,3.48
5.458,13.26,-12.42,2.93
5.475,11.02,-12.81,2.28
5.491,9.84,-12.54,2.15
5.515,9.70,-11.79,1.74
5.524,10.20,-10.73,1.23
5.541,10.55,-9.66,1.32
5.558,10.52,-8.05,1.85
5.575,9.99,-5.90,2.68
5.591,8.44,-4.17,2.99
5.608,5.21,-2.77,2.61
5.625,1.53,-1.57,2.12
5.641,-0.57,-0.49,1.23
5.658,-1.27,1.95,-1.17
5.675,-0.64,6.34,-4.02
5.691,-0.02,11.74,-6.14
5.708,-0.56,15.29,-7.67
5.725,-1.31,16.49,-9.00
5.741,-2.42,13.98,-12.19
5.758,-2.82,13.22,-12.87
5.791,-3.23,12.51,-12.18
5.808,-2.39,9.05,-13.23
5.825,-2.40,6.56,-15.03
5.841,-4.59,6.27,-16.57
5.858,-8.10,6.32,-16.94
5.874,-10.56,5.27,-15.38
5.891,-11.80,2.40,-14.68
5.908,-12.28,-1.08,-14.68
5.925,-12.27,-3.43,-13.83
5.941,-11.61,-5.38,-11.39
5.958,-9.93,-7.25,-8.11
5.974,-6.69,-8.31,-5.29
5.991,-1.89,-7.90,-4.60
6.008,4.34,-8.04,-5.89
6.025,10.46,-9.82,-8.13
6.041,15.22,-11.58,-9.41
6.058,18.51,-11.33,-9.10
6.074,20.71,-10.08,-8.11
6.091,22.06,-8.06,-7.33
6.108,22.84,-8.83,-5.60
6.125,22.86,-10.36,-3.06
6.141,21.68,-9.24,-0.30
6.158,18.21,-6.76,2.58
6.174,13.73,-5.47,3.49
6.191,10.29,-6.14,2.36
6.208,8.33,-6.00,-0.68
6.225,6.84,-3.27,-3.73
6.241,5.79,2.96,-6.14
6.258,5.14,10.14,-8.23
6.275,3.98,14.50,-10.97
6.308,2.36,10.64,-12.88
6.324,-0.10,7.73,-13.84
6.341,-2.96,6.48,-11.85
6.375,-2.88,4.24,-13.53
6.391,-3.33,4.16,-15.14
6.408,-5.08,4.86,-15.35
6.424,-7.39,4.98,-15.34
6.441,-9.03,4.06,-15.87
6.458,-10.35,2.07,-15.85
6.475,-11.93,-0.43,-15.60
6.491,-12.79,-3.22,-13.60
6.508,-11.26,-5.94,-8.96
6.524,-7.58,-7.89,-5.79
6.546,-1.95,-9.64,-4.70
6.558,4.79,-9.85,-4.87
6.575,10.34,-10.31,-4.71
6.591,13.52,-9.69,-3.51
6.608,15.66,-8.00,-1.35
6.625,17.61,-6.53,0.12
6.641,18.90,-6.95,0.33
6.658,18.66,-7.74,-0.17
6.675,17.41,-7.86,-0.17
6.691,15.18,-7.37,0.18
6.708,12.34,-6.86,0.73
6.726,10.41,-6.08,0.64
6.742,9.81,-4.95,0.26
6.758,9.16,-4.33,0.52
6.775,7.78,-4.64,0.60
6.791,6.15,-5.61,0.19
6.808,4.87,-6.32,-0.66
6.825,4.29,-6.83,-1.66
6.842,4.35,-7.76,-1.05
6.858,1.38,-9.19,0.57
6.891,-0.91,-8.17,1.02
6.908,-5.24,-4.15,1.74
6.925,-6.78,-2.72,2.31
6.958,-6.05,-0.22,3.30
6.974,-3.95,0.46,3.76
6.991,-2.65,0.60,3.89
7.008,-1.72,1.07,4.00
7.025,-1.41,2.16,4.13
7.041,-1.22,3.35,3.78
7.058,-0.38,4.52,2.54
7.074,0.90,5.58,0.90
7.091,2.04,5.85,-0.34
7.108,3.10,5.14,-1.33
7.125,4.34,3.32,-1.93
7.141,5.11,0.86,-2.30
7.158,4.82,-1.50,-2.77
7.174,4.01,-2.85,-3.46
7.191,3.07,-2.64,-3.35
7.208,1.77,-1.76,-2.77
7.225,0.39,-1.67,-2.02
7.241,-0.78,-2.74,-1.95
7.258,-1.44,-4.05,-2.04
7.274,-1.87,-4.80,-1.78
7.291,-2.39,-5.06,-1.06
7.308,-2.87,-4.86,0.12
7.325,-2.86,-4.68,1.02
7.341,-2.34,-4.39,1.45
7.358,-2.06,-3.96,1.65
7.375,-2.41,-3.48,1.94
7.391,-2.59,-3.07,2.63
7.408,-2.16,-2.59,3.31
7.425,-1.82,-2.22,3.91
7.441,-1.93,-1.57,5.25
7.475,-1.77,-1.39,5.49
7.491,-1.21,-1.00,6.10
7.508,-0.64,-0.51,6.27
7.541,0.19,0.70,5.76
7.558,0.89,1.14,5.09
7.575,1.55,1.38,4.45
7.597,2.88,1.19,3.82
7.608,4.41,0.86,2.73
7.625,5.51,0.75,1.55
7.642,5.70,1.25,0.52
7.658,5.46,2.14,-0.51
7.675,5.53,2.93,-1.29
7.691,6.32,3.40,-1.80
7.708,6.99,3.39,-2.00
7.725,7.09,3.21,-2.63
7.741,6.38,3.16,-3.48
7.758,4.91,3.73,-4.55
7.775,3.61,4.89,-5.66
7.791,2.80,6.24,-6.34
7.808,2.02,6.24,-6.39
7.825,0.50,5.18,-6.69
7.841,-0.99,3.95,-6.77
7.858,-2.49,3.07,-6.89
7.875,-3.98,2.45,-6.84
7.891,-4.90,1.87,-6.09
7.908,-5.20,1.18,-5.19
7.925,-5.44,-0.16,-4.96
7.941,-6.44,-1.85,-5.28
7.958,-7.89,-3.95,-4.95
7.975,-8.34,-5.99,-2.83
7.991,-8.00,-8.11,-0.63
8.008,-7.57,-9.58,-0.47
8.025,-5.28,-12.16,-0.90
8.058,-3.46,-13.25,-0.96
8.074,1.61,-13.46,-1.64
8.091,4.55,-12.10,-0.99
8.125,7.84,-6.66,1.98
8.141,8.71,-3.76,2.22
8.158,9.58,-2.17,1.63
8.174,9.48,-1.91,0.89
8.191,9.24,-1.94,-0.18
8.208,9.25,-1.35,-1.43
8.225,8.87,0.10,-2.00
8.241,7.39,2.38,-2.23
8.258,5.91,4.45,-2.69
8.274,4.96,5.39,-2.94
8.291,3.87,4.42,-2.97
8.308,2.66,2.76,-2.89
8.324,1.51,1.83,-2.59
8.341,0.43,1.73,-2.31
8.358,-0.30,1.90,-2.24
8.375,-0.91,1.87,-1.93
8.391,-1.59,0.81,-1.11
8.408,-2.13,-0.90,-0.27
8.425,-2.42,-2.08,0.21
8.441,-2.63,-2.29,0.35
8.458,-2.87,-1.86,0.45
8.475,-3.04,-1.35,0.50
8.491,-3.06,-1.12,0.37
8.508,-3.11,-1.16,0.32
8.525,-3.08,-1.30,0.55
8.541,-2.83,-1.39,0.69
8.558,-2.28,-1.34,0.58
8.575,-1.76,-1.06,0.21
8.591,-1.50,-0.46,0.09
8.608,-1.06,0.61,0.37
8.641,-0.53,0.69,0.16
8.663,0.26,0.86,0.26
8.675,0.55,0.91,0.53
8.708,1.14,0.18,0.57
8.724,1.23,0.07,0.56
8.741,1.37,0.08,0.60
8.758,1.38,0.22,0.50
8.775,1.18,0.38,0.47
8.791,0.97,0.33,0.48
8.808,0.79,0.06,0.34
8.824,0.49,-0.27,0.17
8.842,-0.05,-0.44,0.04
8.858,-0.59,-0.47,-0.03
8.875,-0.93,-0.36,-0.06
8.892,-1.21,-0.31,-0.16
8.908,-1.43,-0.39,-0.34
8.925,-1.59,-0.52,-0.59
8.942,-1.74,-0.55,-0.92
8.958,-1.93,-0.51,-1.19
8.975,-2.17,-0.42,-1.45
8.992,-2.27,-0.23,-1.72
9.008,-2.23,0.02,-2.00
9.025,-2.24,0.15,-2.27
9.041,-2.27,0.19,-2.53
9.058,-2.30,0.25,-2.80
9.075,-2.21,0.53,-2.99
9.092,-1.99,0.79,-3.09
9.108,-1.59,1.03,-3.06
9.125,-1.22,1.25,-3.06
9.142,-0.95,1.54,-3.07
9.158,-0.62,1.96,-2.84
9.175,-0.24,2.19,-2.54
9.192,0.83,2.30,-1.91
9.225,1.20,2.51,-1.56
9.241,1.66,2.95,-0.90
9.258,1.81,3.07,-0.51
9.291,2.45,2.89,0.35
9.308,2.58,2.84,0.93
9.325,2.68,2.84,1.30
9.342,2.90,2.81,1.52
9.358,3.03,2.93,1.82
9.375,2.96,2.98,2.18
9.391,2.66,2.42,2.39
9.408,2.45,1.28,2.53
9.425,2.29,0.28,2.66
9.441,1.94,-0.12,2.86
9.458,1.49,0.04,3.09
9.475,1.00,0.44,3.13
9.491,0.45,0.66,3.19
9.508,-0.08,0.47,3.23
9.525,-0.66,-0.03,3.17
9.542,-1.22,-0.64,3.15
9.559,-1.69,-1.19,3.22
9.575,-2.18,-1.59,3.05
9.592,-2.41,-2.04,2.69
9.609,-2.42,-2.52,2.38
9.625,-2.37,-3.06,2.07
9.642,-2.32,-3.45,1.61
9.658,-2.39,-3.61,1.03
9.675,-2.62,-3.47,0.48
9.692,-2.85,-3.22,-0.05
9.715,-3.13,-2.68,-1.16
9.742,-3.10,-2.29,-1.62
9.759,-2.94,-1.35,-2.18
9.775,-2.94,-0.86,-2.45
9.808,-2.54,0.15,-2.96
9.824,-2.15,0.80,-2.79
9.841,-2.01,1.41,-2.27
9.858,-1.85,1.74,-1.87
9.875,-1.27,1.71,-1.71
9.892,-0.52,1.55,-1.55
9.909,-0.12,1.37,-1.50
9.925,0.01,1.22,-1.45
9.942,0.05,1.14,-1.33
9.958,-0.06,1.02,-1.19
9.975,-0.15,0.77,-0.93
9.992,-0.10,0.50,-0.68
10.008,0.03,0.31,-0.50
10.025,0.06,0.34,-0.33
10.042,-0.03,0.43,-0.01
10.058,-0.03,0.41,0.36
10.075,0.08,0.27,0.53
10.092,0.20,0.15,0.57
10.108,0.28,0.12,0.66
10.125,0.25,0.35,0.77
10.142,0.14,0.69,0.89
10.158,0.18,0.90,0.93
10.175,0.41,1.20,0.90
10.192,0.62,1.66,0.97
10.209,0.82,3.11,1.00
10.225,0.83,5.68,1.19
10.242,0.53,9.07,1.56
10.259,-0.02,11.92,2.00
10.275,-0.38,14.59,1.72
10.292,-1.16,14.55,-0.90
10.325,-2.06,12.21,-3.18
10.341,-3.27,9.98,-5.64
10.358,-6.56,7.75,-5.86
10.391,-9.58,7.24,-3.06
10.408,-8.93,6.35,-2.22
10.425,-7.29,5.12,-1.92
10.441,-5.54,4.07,-2.18
10.458,-4.16,2.78,-2.36
10.474,-2.86,1.51,-1.84
10.491,-1.60,0.75,-0.80
10.508,-0.66,0.73,0.07
10.525,0.18,1.17,0.64
10.541,0.87,1.11,0.88
10.558,1.36,0.70,0.60
10.574,1.63,0.30,0.21
10.591,1.78,0.20,0.03
10.608,1.72,0.51,0.12
10.625,1.37,0.80,0.47
10.641,0.98,0.83,0.72
10.658,0.81,0.59,0.45
10.674,0.83,0.32,-0.02
10.691,0.89,0.08,-0.19
10.708,0.90,0.10,-0.07
10.725,0.81,0.31,0.16
10.741,0.62,0.55,0.30
10.758,0.47,0.61,0.27
10.780,0.58,0.38,0.16
10.795,0.63,0.30,0.13
10.810,0.66,0.27,0.19
10.841,0.67,0.27,0.30
10.858,0.58,0.17,0.28
10.875,0.31,0.08,-0.12
10.908,0.07,0.06,-0.28
10.925,-0.46,-0.06,-0.48
10.941,-0.64,-0.32,-0.62
10.975,-0.72,-0.75,-1.15
10.991,-0.75,-0.92,-1.30
11.008,-0.75,-0.95,-1.31
11.024,-0.65,-0.90,-1.16
11.041,-0.64,-0.92,-0.89
11.058,-0.69,-0.92,-0.74
11.075,-0.59,-0.47,-0.80
11.091,-0.40,-0.42,-0.71
11.108,-0.17,-0.27,-0.38
11.124,0.00,-0.07,-0.05
11.141,-0.02,0.10,0.11
11.158,-0.22,0.30,0.25
11.175,-0.47,0.39,0.39
11.191,-0.51,0.50,0.42
11.208,-0.40,0.54,0.42
11.224,-0.32,0.59,0.44
11.241,-0.36,0.61,0.46
11.258,-0.40,0.57,0.42
11.275,-0.37,0.47,0.36
11.291,-0.41,0.30,0.31
11.308,-0.51,0.19,0.22
11.324,-0.60,0.25,0.19
11.342,-0.65,0.21,0.24
11.359,-0.60,0.21,0.25
11.376,-0.52,0.22,0.16
11.392,-0.46,0.25,0.08
11.409,-0.41,0.22,0.04
11.426,-0.27,0.15,0.05
11.442,-0.08,0.08,0.09
11.459,0.03,0.06,0.08
11.491,0.13,0.10,0.16
11.508,0.01,0.27,0.40
11.525,-0.10,0.28,0.45
11.558,-0.29,0.46,0.27
11.574,-0.18,0.55,0.25
11.591,-0.11,0.43,0.17
11.608,-0.06,0.28,0.24
11.625,-0.10,0.21,0.20
11.641,-0.18,0.11,0.09
11.658,-0.19,0.21,0.12
11.674,-0.31,0.38,0.05
11.691,-0.40,0.52,0.11
11.708,-0.42,0.89,0.15
11.725,-0.48,0.90,0.16
11.741,-0.50,0.82,0.16
11.758,-0.36,0.50,0.19
11.774,-0.34,0.66,0.18
11.791,-0.46,0.91,0.24
11.808,-0.41,0.88,0.27
11.831,-0.07,0.21,0.35
11.859,-0.11,-0.25,0.38
11.876,-0.17,-0.60,0.38
11.892,-0.17,-0.84,0.35
11.909,-0.15,-0.86,0.26
11.926,-0.13,-0.83,0.22
11.942,-0.06,-0.69,0.19
11.959,0.00,-0.42,0.18
11.976,-0.00,-0.19,0.14
12.008,0.09,-0.49,0.11
12.024,0.07,-0.86,0.09
12.041,0.05,-0.76,0.09
12.075,0.14,-0.67,0.08
12.091,0.14,-0.25,0.11
12.108,0.11,-0.24,0.16
12.141,0.17,-0.35,0.38
12.158,0.18,-0.25,0.44
12.175,0.19,-0.04,0.51
12.191,0.24,0.02,0.53
12.208,0.26,-0.05,0.49
12.224,0.22,-0.12,0.44
12.241,0.17,-0.15,0.40
12.258,0.18,-0.14,0.37
12.275,0.22,-0.01,0.35
12.291,0.17,0.17,0.38
12.308,0.11,0.37,0.33
12.324,0.04,0.40,0.34
12.341,-0.02,0.15,0.39
12.359,-0.00,0.05,0.45
12.376,0.05,0.29,0.55
12.392,0.12,0.53,0.65
12.409,0.15,0.76,0.72
12.426,0.13,0.83,0.80
12.443,0.05,0.69,0.91
12.460,0.03,0.51,1.00
12.477,0.04,0.30,1.02
12.493,-0.07,0.21,1.04
12.509,-0.20,0.27,1.03
12.526,-0.28,0.34,0.98
12.543,-0.36,0.25,0.94
12.559,-0.30,0.19,0.85
12.591,-0.29,0.26,0.82
12.608,-0.24,0.24,0.83
12.625,-0.08,0.34,0.84
12.658,0.06,0.51,0.78
12.674,0.32,0.60,0.71
12.691,0.39,0.58,0.72
12.725,0.72,0.38,0.87
12.741,0.86,0.36,0.97
12.758,0.97,0.51,1.10
12.774,1.02,0.60,1.15
12.791,0.87,0.73,1.08
12.808,0.66,1.03,1.01
12.825,0.51,1.21,0.97
12.841,0.32,0.84,0.89
12.860,0.14,0.44,0.91
12.884,-0.08,0.01,0.98
12.910,-0.11,0.17,1.00
12.926,-0.06,0.34,0.99
12.943,-0.15,0.24,0.95
12.959,-0.43,-0.39,1.00
12.976,-0.40,-0.28,0.78
12.993,-0.01,0.49,0.54
13.010,0.02,0.59,0.46
13.026,-0.15,0.45,0.36
13.043,-0.47,0.58,0.28
13.060,-0.48,0.80,0.21
13.076,-0.32,1.01,0.19
13.093,-0.18,1.11,0.18
13.109,-0.17,1.00,0.30
13.126,-0.20,0.75,0.38
13.143,-0.35,0.39,0.46
13.175,-0.33,0.30,0.38
13.191,-0.53,0.07,0.29
13.208,-1.14,-0.11,0.20
13.241,-1.02,-0.07,0.21
13.258,-0.12,0.21,-0.07
13.275,-0.28,0.57,-0.21
13.308,0.09,-0.03,0.01
13.324,0.05,-0.02,0.03
13.342,-0.08,-0.05,0.04
13.360,-0.37,0.05,-0.14
13.377,-0.68,0.10,-0.14
13.393,-0.68,0.03,-0.09
13.410,-0.34,0.01,-0.15
13.426,-0.15,-0.00,-0.15
13.443,-0.09,-0.10,-0.07
13.460,-0.13,-0.12,-0.11
13.476,-0.36,-0.04,-0.30
13.493,-0.61,-0.03,-0.44
13.510,-0.78,-0.01,-0.54
13.526,-0.08,-0.53,-0.42
13.543,0.04,0.13,-0.44
13.560,0.03,-0.26,-0.52
13.576,0.02,-0.17,-0.42
13.593,0.02,-0.19,-0.45
13.609,0.05,-0.48,-0.67
13.627,0.08,-0.81,-0.98
13.643,0.05,-0.52,-1.23
13.660,0.06,-0.55,-1.50
13.676,0.03,-0.99,-1.68
13.693,0.20,0.28,-1.63
13.710,0.04,0.10,-1.81
13.726,-0.00,-0.07,-2.05
13.758,0.00,-0.04,-2.02
13.774,0.00,-0.01,-1.96
13.791,-0.00,-0.03,-1.95
13.825,-0.00,-0.03,-1.97
13.841,0.00,-0.02,-2.00
13.858,-0.00,-0.03,-1.97
13.877,0.00,-0.04,-1.85
13.893,0.01,-0.03,-1.65
13.910,0.00,-0.02,-1.47
13.927,0.00,-0.02,-1.30
13.950,0.00,-0.02,-1.11
13.958,0.00,-0.02,-0.96
13.977,0.00,-0.02,-0.97
13.993,0.00,-0.02,-1.11
14.010,0.00,-0.02,-1.22
14.026,0.00,-0.02,-1.28
14.043,0.00,-0.02,-1.27
14.060,0.00,-0.03,-1.26
14.076,0.00,-0.02,-1.24
14.093,0.00,-0.02,-1.08
14.110,0.00,-0.02,-0.84
14.126,0.00,-0.01,-0.58
14.143,0.00,-0.01,-0.45
14.160,0.00,-0.01,-0.54
14.177,0.00,-0.01,-0.73
14.193,0.00,-0.02,-0.89
14.210,0.00,-0.02,-0.93
