time,ax,ay,az,wx,wy,wz,Bx(µT),By(µT),Bz(µT),latitude,longitude,altitude,speed
2026-04-23T14:55:39.497Z,-0.7863,0.4908,0.2656,0.1572,0.1828,0.7420,5.7970,1.4189,-49.6171,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.507Z,-0.9786,0.4285,0.6049,0.1619,0.1605,0.7375,5.8181,1.2917,-49.5226,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.517Z,-1.4477,0.0268,0.7706,0.2234,0.1489,0.7425,5.9201,1.1710,-49.5550,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.527Z,-2.1916,-0.8366,0.6488,0.3085,0.1683,0.8049,6.1437,1.0741,-49.6018,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.538Z,-2.9458,-1.8758,0.4263,0.2958,0.2369,0.9563,6.3171,0.8768,-49.3876,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.547Z,-3.3512,-2.5989,0.3060,0.0629,0.3751,1.1494,6.5067,0.7308,-49.6889,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.557Z,-3.0457,-2.7288,0.4416,-0.3852,0.5429,1.3233,6.8586,0.6798,-49.5703,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.567Z,-2.3934,-2.2590,1.0727,-0.9296,0.7473,1.4106,7.1293,0.9113,-49.3406,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.577Z,-2.2351,-1.5225,1.5747,-1.3840,0.9246,1.3994,7.5513,1.4432,-49.2616,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.587Z,-2.5063,-0.9789,1.5022,-1.5415,0.9657,1.3560,7.9567,2.0240,-49.1442,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.597Z,-2.6822,-0.5219,1.5798,-1.3645,0.9578,1.3235,8.3930,2.6404,-48.9223,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.607Z,-2.8636,-0.1795,1.3752,-0.9692,0.8424,1.3097,8.8787,3.0316,-48.8430,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.617Z,-3.0467,0.2247,1.1134,-0.5564,0.6804,1.2458,9.2104,3.2336,-48.9684,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.628Z,-2.9635,0.6195,0.8618,-0.2914,0.5597,1.1377,9.6618,3.2908,-49.0307,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.638Z,-2.5325,1.0057,0.4923,-0.1867,0.4912,1.0439,9.6618,3.2908,-49.0307,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.647Z,-2.1077,1.2139,0.1938,-0.2128,0.4347,1.0214,9.9886,3.2845,-48.9117,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.657Z,-1.9806,1.1778,-0.1100,-0.3333,0.3648,1.0609,10.3053,3.3270,-48.7733,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.667Z,-2.1063,1.0143,-0.2895,-0.4722,0.3471,1.1047,10.4496,3.4107,-48.4857,40.01023049799408,-105.24393952785817,1603.7002,0.2709
